Requirement_ID,Requirement_Text,Category,Priority,Status,Confidence_Score,Coverage_Percentage,Evidence_Count,Evidence_Types,Implementation_Files,Key_Functions,Key_Selectors,Key_Constants,Notes,User_Story
PERF_38ba6499,"Performance: ', this",Technical - Performance,High,Partially,0.50,50.0%,10,function,"script.js, 06_MPE_script.js","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,
PERF_36b06f17,Performance: and deployment,Technical - Performance,High,Partially,0.50,50.0%,10,function,"script.js, 06_MPE_script.js","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,
PERF_751d94fa,Performance: A ProductionMonitor class tracks key metrics to ensure the application remains fast and responsive,Technical - Performance,High,Partially,0.40,31.3%,10,function,"script.js, 06_MPE_script.js","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,
DATA_6da62369,Data: Local data storage with timestamp tracking for offline progression calculations,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, local, storage",
DATA_8a7eeb79,Data: (XP/routine slots) and fresh starts (completion rates),Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: habit, routine, daily",
DATA_013d0e38,Data: integrity,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_0b5b2a94,Data: every 5 minutes with recovery,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, every, minutes",
DATA_3a6988a0,Data: persistence,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_2df9e7e2,Data: (version number + reset on breaking changes),Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, version, number",
DATA_dd3a282a,Data: reset with selective persistence,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, reset, with",
DATA_a829d2b5,Data: s with user notification on recovery,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, with, user",
DATA_d41ce29b,Data: () { /* create checkpoint */ },Technical - Data,Medium,Partially,0.57,66.7%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_0263cdfa,Data: Every 5 minutes with user notification on recovery,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, every, minutes",
DATA_22a55dc4,"Data: * Performance Metrics: Real-time FPS, memory usage, enemy count",Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: enemy, zombie, base",
DATA_09f72e37,"Data: with sync indicators, conflict resolution interface for simultaneous edits",Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, with, sync",
DATA_23547b7b,"Data: Visualization: Clear indication of what carries over between runs, progress preservation with celebration of maintained achievements",Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, visualization, clear",
DATA_93d7b1d4,"Data: export for external analysis, integration with personal productivity tracking systems",Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: level, points, upgrade",
DATA_0c00be46,"Data: Section: Due date, priority, and creation details in organized card layout",Technical - Data,Medium,Partially,0.46,42.9%,10,function,"script.js, script2.js, 03_main_script.js","createTaskItemData, createTaskItemData, createTaskItemData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_6f636d77,Data: * Modification History: Timeline of previous changes with timestamps and impact analysis,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, modification, history",
DATA_f57999ae,Data: * Change Tracking: Detailed log of what's being modified with user note field,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, change, tracking",
DATA_0fd2d995,Data: * Activation Options: Choice to activate immediately or save as template,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, activation, options",
DATA_e13d9aab,Data: * Analytics Summary: Weekly/monthly summaries of earning and spending patterns,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, analytics, summary",
DATA_aa00254a,Data: export for external analysis and record keeping,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: level, points, upgrade",
DATA_79561bfb,Data: Models,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_90572950,Data: ) {,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_b30390b7,Data: );,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_15087257,Data: corruption recovery from backups,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, corruption, recovery",
DATA_c7b6175a,"Data: ,",Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_0909939d,Data: = {,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_ab55f044,Data: = [];,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_084b6f47,Data: ;,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_7f347496,"Data: , progress);",Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_cd0e40e1,Data: Architecture,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_5569bc2b,Data: Storage,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_d5263b52,Data: Strategy,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_ded4c5d0,Data: Manager {,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_1559eb92,Data: Key = 'deadline-game-data';,Technical - Data,Medium,Partially,0.53,71.4%,10,function,"script.js, script2.js","createTaskItemData, createTaskItemData, completeItem",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_06ab5d5e,Data: Interval = 5 * 60 * 1000; // 5 minutes,Technical - Data,Medium,Partially,0.44,66.7%,10,function,"script.js, 06_MPE_script.js","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,
DATA_fe7199d5,Data: s = 10;,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_ff2f4e7e,"Data: Key, JSON",Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_8edb7a0e,Data: ));,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_7ef63f8d,Data: (data);,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_42eeccc1,Data: s();,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_ab5af332,Data: = JSON,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_ac64dd23,Data: Key));,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_140ec47a,Data: || data,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_37d7fb66,"Data: ', error);",Technical - Data,Medium,Partially,0.54,100.0%,10,function,"script.js, 06_MPE_script.js","addHabitToRoutine, addHabitToRoutine, if",,,Partial implementation detected; Found evidence in function: addHabitToRoutine,
DATA_d2ae42b8,Data: ();,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_8b0343e4,Data: (data) {,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_afee16e9,Data: Key = `${this,Technical - Data,Medium,Partially,0.54,100.0%,10,function,"script.js, script2.js, 03_main_script.js","if, if, if",,,Partial implementation detected; Found evidence in function: if,
DATA_69f2e8c3,Data: Key}-backup-${Date,Technical - Data,Medium,Partially,0.57,66.7%,10,function,"script.js, script2.js","createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_036eb4e9,Data: () {,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_6da3f5e4,Data: Keys = Object,Technical - Data,Medium,Partially,0.41,33.3%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_92c2299c,Data: ),Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_2792828f,Data: Key}-backup-`)),Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_9d710ef1,Data: Keys) {,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_dba0a50c,"Data: corrupted:', key);",Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_cd9a830f,Data: Validation,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_4c6bf780,Data: Validator {,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_407907e6,Data: [field];,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_04b0ecfc,Data: backup() {,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_ae94be3c,Data: Manager,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_28b98065,Data: ) { /* Create enemy from task/habit */ },Technical - Data,Medium,Partially,0.45,36.8%,10,function,"script.js, 06_MPE_script.js","completeItem, completeItem, if",,,Partial implementation detected; Found evidence in function: completeItem,
DATA_76fa26d9,Data: ) { /* Emit game event */ },Technical - Data,Medium,Partially,0.51,50.0%,10,function,"script.js, 06_MPE_script.js","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,
DATA_1316db74,Data: ) { const subtask = await this,Technical - Data,Medium,Partially,0.45,40.0%,10,function,"script.js, script2.js, 03_main_script.js","createTaskItemData, createTaskItemData, createTaskItemData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_0875d5eb,"Data: , parentId }); await this",Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, parentid, await",
DATA_1a7acc3f,Data: protection measures:,Technical - Data,Medium,Partially,0.41,33.3%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_7fd6ed88,Data: before localStorage,Technical - Data,Medium,Partially,0.43,33.3%,10,selector,"style.css, 04_main_style.css",,"before, before, before",,Partial implementation detected; Found evidence in selector: before,
DATA_c7e08c64,Data: from localStorage,Technical - Data,Medium,Partially,0.43,33.3%,10,selector,"style.css, 04_main_style.css, 08_MPE_style.css",,"from, .remove-habit-from-routine-button, .remove-habit-from-routine-button",,Partial implementation detected; Found evidence in selector: from,
DATA_49305f18,"Data: , this",Technical - Data,Medium,Partially,0.54,100.0%,10,function,"script.js, script2.js, 03_main_script.js","if, if, if",,,Partial implementation detected; Found evidence in function: if,
DATA_918eff02,Data: Security,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_728fc280,Data: blob:;,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_ecc9a4a2,"Data: image/svg+xml,",Technical - Data,Medium,Partially,0.54,100.0%,10,function,"script.js, 06_MPE_script.js","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,
DATA_cc6572c3,"Data: ""< 50MB"" # Single HTML file + assets",Technical - Data,Medium,Partially,0.44,60.0%,10,function,"script.js, requirement_tracker.js, requirement_tracker.py","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,
DATA_fd39cedb,"Data: """,Technical - Data,Medium,Partially,0.74,100.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_c683b8a1,"Data: functionality',",Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_276f2186,Data: into visual feedback,Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, into, visual",
DATA_a8cfde63,Data: object,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_de818df3,Data: & Persistence,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_46f51bd4,"Data: Models: The application's state is described by formal schemas (TaskSchema, GameStateSchema, etc",Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: task, item, todo",
DATA_c2ab733e,"Data: Storage: The PersistenceManager class uses LocalStorage for all data persistence, with built-in backup and recovery logic",Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: data, storage, persistencemanager",
DATA_020786aa,"Data: saving and loading is handled automatically in the background, providing a seamless experience with no need for the user to perform manual ""save"" actions",Technical - Data,Medium,Missing,0.00,0.0%,0,,,,,,"No evidence found for key terms: button, form, input",
PERF_0d171c48,Performance: Characteristics,Technical - Performance,High,Partially,0.50,50.0%,10,function,"script.js, 06_MPE_script.js","renderDefinedRoutines, renderDefinedRoutines, if",,,Partial implementation detected; Found evidence in function: renderDefinedRoutines,
DATA_0b2c70f4,Data: Structure,Technical - Data,Medium,Partially,0.49,50.0%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_02d48ebc,"Data: (name, category, isHighPriority, dueDateStr, dueTimeStr)`",Technical - Data,Medium,Partially,0.65,81.8%,10,function,"script.js, script2.js, 03_main_script.js","createTaskItemData, createTaskItemData, createTaskItemData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
DATA_365f964f,Data: )`: Add item to active game,Technical - Data,Medium,Partially,0.55,62.5%,10,function,"script.js, 06_MPE_script.js","completeItem, completeItem, if",,,Partial implementation detected; Found evidence in function: completeItem,
DATA_e0c53867,Data: Models (Simplified),Technical - Data,Medium,Partially,0.41,33.3%,10,function,script.js,"createTaskItemData, createTaskItemData, createHabitInstanceData",,,Partial implementation detected; Found evidence in function: createTaskItemData,
